Module,Size_KB,Combined_Chunks
prism-abap.min.js,7.84,No
prism-abnf.min.js,0.45,No
prism-actionscript.min.js,0.94,No
prism-ada.min.js,1.00,No
prism-agda.min.js,0.81,No
prism-al.min.js,2.67,No
prism-antlr4.min.js,1.29,No
prism-apacheconf.min.js,8.10,No
prism-apex.min.js,2.14,No
prism-apl.min.js,0.87,No
prism-applescript.min.js,1.84,No
prism-aql.min.js,1.14,No
prism-arduino.min.js,3.94,No
prism-arff.min.js,0.30,No
prism-armasm.min.js,1.35,No
prism-arturo.min.js,3.15,No
prism-asciidoc.min.js,4.45,No
prism-asm6502.min.js,0.96,No
prism-asmatmel.min.js,1.81,No
prism-aspnet.min.js,1.18,No
prism-autohotkey.min.js,8.65,No
prism-autoit.min.js,0.92,No
prism-avisynth.min.js,5.07,No
prism-avro-idl.min.js,1.09,No
prism-awk.min.js,0.80,No
prism-bash.min.js,6.11,No
prism-basic.min.js,1.90,No
prism-batch.min.js,1.74,No
prism-bbcode.min.js,0.55,No
prism-bbj.min.js,0.95,No
prism-bicep.min.js,1.37,No
prism-birb.min.js,0.68,No
prism-bison.min.js,0.69,No
prism-bnf.min.js,0.41,No
prism-bqn.min.js,1.41,No
prism-brainfuck.min.js,0.33,No
prism-brightscript.min.js,1.17,No
prism-bro.min.js,1.20,No
prism-bsl.min.js,1.76,No
prism-c.min.js,1.96,No
prism-cfscript.min.js,1.31,No
prism-chaiscript.min.js,1.27,No
prism-cil.min.js,2.18,No
prism-cilkc.min.js,0.32,No
prism-cilkcpp.min.js,0.37,No
prism-clike.min.js,0.80,No
prism-clojure.min.js,3.09,No
prism-cmake.min.js,10.34,No
prism-cobol.min.js,10.42,No
prism-coffeescript.min.js,1.49,No
prism-concurnas.min.js,1.96,No
prism-cooklang.min.js,1.65,No
prism-coq.min.js,3.08,No
prism-core.min.js,7.33,No
prism-cpp.min.js,2.64,No
prism-crystal.min.js,7.99,No
prism-csharp.min.js,7.95,No
prism-cshtml.min.js,0.26,No
prism-csp.min.js,1.22,No
prism-css-extras.min.js,0.78,No
prism-css.min.js,0.81,No
prism-csv.min.js,0.19,No
prism-cue.min.js,1.62,No
prism-cypher.min.js,1.12,No
prism-d.min.js,7.63,No
prism-dart.min.js,6.98,No
prism-dataweave.min.js,9.56,No
prism-dax.min.js,9.46,No
prism-dhall.min.js,1.33,No
prism-diff.min.js,8.55,No
prism-django.min.js,1.23,No
prism-dns-zone-file.min.js,7.06,Yes
prism-docker.min.js,3.91,No
prism-dot.min.js,1.27,No
prism-ebnf.min.js,0.48,No
prism-editorconfig.min.js,0.45,No
prism-eiffel.min.js,1.04,No
prism-ejs.min.js,4.35,No
prism-elixir.min.js,3.98,No
prism-elm.min.js,6.75,No
prism-erb.min.js,0.59,No
prism-erlang.min.js,8.08,No
prism-etlua.min.js,2.69,No
prism-excel-formula.min.js,6.98,No
prism-factor.min.js,3.45,No
prism-false.min.js,3.40,No
prism-firestore-security-rules.min.js,4.36,No
prism-flow.min.js,0.98,No
prism-fortran.min.js,5.48,Yes
prism-fsharp.min.js,5.80,No
prism-ftl.min.js,1.95,No
prism-gap.min.js,8.86,No
prism-gcode.min.js,0.67,No
prism-gdscript.min.js,2.57,No
prism-gedcom.min.js,6.39,No
prism-gettext.min.js,0.63,No
prism-gherkin.min.js,5.77,No
prism-git.min.js,0.14,No
prism-glsl.min.js,8.56,No
prism-gml.min.js,2.96,No
prism-gn.min.js,1.12,No
prism-go-module.min.js,5.82,No
prism-go.min.js,9.13,No
prism-gradle.min.js,1.45,No
prism-graphql.min.js,2.57,No
prism-groovy.min.js,1.25,No
prism-haml.min.js,7.37,No
prism-handlebars.min.js,5.16,No
